textbox22,Textbox9
generated on 01/05/2022 04:23:29 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,1,2000-01-03,2000-01-09,,1,0,,1,,0,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,2,2000-01-10,2000-01-16,,1,0,,0,,1,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,3,2000-01-17,2000-01-23,,2,0,,0,,2,2,,,,,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,4,2000-01-24,2000-01-30,,1,0,,0,,1,1,,,,,1,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,5,2000-01-31,2000-02-06,,1,0,,0,,1,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,6,2000-02-07,2000-02-13,,1,0,,0,,1,1,,,,,1,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,7,2000-02-14,2000-02-20,,2,0,,0,,2,2,,,,,2,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,8,2000-02-21,2000-02-27,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,9,2000-02-28,2000-03-05,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,10,2000-03-06,2000-03-12,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,11,2000-03-13,2000-03-19,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,12,2000-03-20,2000-03-26,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,13,2000-03-27,2000-04-02,,1,0,,0,,1,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,14,2000-04-03,2000-04-09,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,15,2000-04-10,2000-04-16,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,16,2000-04-17,2000-04-23,,1,0,,1,,0,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,17,2000-04-24,2000-04-30,,1,0,,0,,1,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,18,2000-05-01,2000-05-07,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,19,2000-05-08,2000-05-14,,0,0,,0,,0,0,,,,,0,,No Activity
